,location,total_sqft,bath,price,BHK
1,1st Phase JP Nagar,1875.0,3.0,167.0,3
2,1st Phase JP Nagar,1500.0,5.0,85.0,5
3,1st Phase JP Nagar,2065.0,4.0,210.0,3
5,1st Phase JP Nagar,2059.0,3.0,225.0,3
6,1st Phase JP Nagar,1394.0,2.0,100.0,2
7,1st Phase JP Nagar,1077.0,2.0,93.0,2
8,1st Phase JP Nagar,1566.0,2.0,180.0,2
9,1st Phase JP Nagar,840.0,2.0,50.0,1
10,1st Phase JP Nagar,1590.0,3.0,131.0,3
11,1st Phase JP Nagar,2180.0,3.0,210.0,3
12,1st Phase JP Nagar,1180.0,2.0,88.5,2
13,1st Phase JP Nagar,1200.0,2.0,86.0,2
14,1st Phase JP Nagar,1394.0,2.0,85.0,2
15,1st Phase JP Nagar,2077.0,3.0,175.0,3
17,1st Phase JP Nagar,1205.0,2.0,85.0,2
19,1st Phase JP Nagar,900.0,2.0,75.0,2
20,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4
21,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6
22,2nd Stage Nagarbhavi,2400.0,8.0,450.0,6
23,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4
24,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4
25,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4
26,2nd Stage Nagarbhavi,1500.0,4.0,233.0,6
27,5th Phase JP Nagar,1075.0,2.0,60.0,2
28,5th Phase JP Nagar,1150.0,3.0,52.5,2
29,5th Phase JP Nagar,1256.0,2.0,62.8,2
30,5th Phase JP Nagar,1207.0,2.0,63.0,2
31,5th Phase JP Nagar,1725.0,2.0,100.0,3
32,5th Phase JP Nagar,1440.0,2.0,60.0,2
33,5th Phase JP Nagar,1400.0,2.0,88.0,3
34,5th Phase JP Nagar,1450.0,2.0,58.0,2
35,5th Phase JP Nagar,1700.0,2.0,100.0,3
37,5th Phase JP Nagar,2500.0,5.0,110.0,5
38,5th Phase JP Nagar,600.0,1.0,30.0,1
39,5th Phase JP Nagar,1390.0,2.0,65.0,2
40,5th Phase JP Nagar,1256.0,2.0,62.8,2
41,5th Phase JP Nagar,1000.0,2.0,48.0,2
42,5th Phase JP Nagar,1350.0,2.0,75.0,3
43,5th Phase JP Nagar,552.0,1.0,23.5,1
44,5th Phase JP Nagar,1200.0,2.0,51.0,2
48,5th Phase JP Nagar,1030.0,2.0,57.0,2
49,5th Phase JP Nagar,1200.0,2.0,68.0,2
50,5th Phase JP Nagar,1190.0,2.0,61.8,2
51,5th Phase JP Nagar,4000.0,5.0,170.0,5
52,5th Phase JP Nagar,1080.0,2.0,53.0,2
53,5th Phase JP Nagar,1041.0,2.0,54.0,2
